Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,pensais,thought
2,2,demande,request
3,3,genre,kind
4,4,mois,month
5,5,frère,brother
6,6,laisser,let
7,7,car,because
8,8,mettre,to put
9,9,aucun,no
10,10,parlé,speak
11,11,arrivé,come
12,12,longtemps,long time
13,13,revoir,meet again
14,14,place,square
15,15,compris,understood
16,16,savais,knew
17,17,attention,Warning
18,18,pourrais,could
19,19,affaire,case
20,20,donner,give
21,21,donné,given
22,22,endroit,place
23,23,yeux,eyes
24,24,dont,whose
26,26,perdu,lost
27,27,première,first
28,28,vieux,old
29,29,sois,be
30,30,enfant,child
31,31,venu,came
32,32,pardon,sorry
33,33,venez,come
34,34,vers,towards
35,35,minutes,minutes
36,36,demandé,request
37,37,chambre,bedroom
38,38,mis,placed
39,39,aujourd'hui,today
40,40,mari,husband
41,41,eau,water
42,42,attendez,Wait
43,43,parti,left
44,44,nouvelle,new
45,46,terre,Earth
46,47,donne,given
47,48,croire,believe
48,49,gros,large
49,50,jouer,to play
